Term,Definition
-D Television,"Television pro- grams that have been filmed using technol-ogy that creates the illusion of depth, which is the third dimension—the other two being width and height."
A Account executive,A person who acts as a liaison between the client and theagency.
Account management,People and processes at an ad agency that facilitate therelationship between the agency and the client.
Account planner,"The person re- sponsible for the strategy and its imple- mentation in the creative work. Account planning (pp. 25, 210) A process of using research to gain information about the brand in its marketplace, the consu-mer’s perspective, or both, and to use thatresearch to contribute directly to advertis-ing development."
Account services,"The account man- agement function of an agency, which acts asa liaison between the client and the agency."
Acquired needs,"A driving force learned from culture, society, and theenvironment."
Active publics,Those people who communicate and organize to do some-thing about an issue or situation.
Ad allowances,"In cooperative  advertising, funds are provided by manu-facturers to retailers who feature the man- ufacturers’ products in the retailers’ local advertising."
Adaptation,See Localization.
Added value,"A marketing activity, such as advertising, makes a product moreappealing or useful."
Addressable media,"Media, such as mail, the Internet, and the telephone,that carry messages to identifiable cus- tomers or prospects."
Addressable television,"Television technology that permits the signal to bepersonalized to a home.Adese (p. 265) Formula writing that uses clichés, generalities, stock phrases, andsuperlatives."
Adoption,The willingness to try new products.
Adoption process,Buying behav- ior that reflects the speed with which peo-ple are willing to try something new.
Advertainment,"A form of persua- sive advertising in which the commercialslook like TV shows or short films, and pro-vide entertainment as opposed to high lev- els of information."
Advertisement,"A notice about a product (good, service, or idea) that is designed to get the attention of a target audience."
Advertiser,A person or organiza- tion that initiates the advertising process.
Advertising,Paid nonpersonal com- munication from an identified sponsor us-ing mass media to persuade or influence anaudience.
Advertising agency,An organiza- tion that provides a variety of professionalservices to its client who is the advertiserof a product.
Advertising department,A depart- ment within the company that acts as afacilitator between outside vendors and in- ternal advertising management.
Advertising plan,"A plan that pro- poses strategies for targeting the audience,presenting the advertising message, andimplementing media."
Advertising research,The process of gathering information about consumers and the marketplace in order to makesound strategic planning decisions.
Advocacy,A type of advertising that communicates a viewpoint.
Advocacy advertising,"A type of corporate advertising that involves creat-ing advertisements and purchasing space to deliver a specific, targeted message."
Affective response,A response caused by or expressing feelings andemotions.Affiliates (p. 370) A station that contracts with a national network to carry network- originated programming during part of its schedule.
Agency networks,Large conglomer- ations of agencies under a central ownership. Agency-of-record (AOR) (p. 20) An ad- vertising agency that manages the business between a company and the agencies it hascontracts with.
AIDA,"A hierarchy of effects iden- tified as Attention, Interest, Desire, andAction. Aided recognition (recall) (pp. 174, 589) When one can remember an idea after see- ing a cue."
Ambush marketing,"In event mar- keting, a competitor advertises in such away that it steals visibility from the desig- nated sponsor."
Analogies,A statement that finds some point of similarity between two thingsthat are otherwise dissimilar.
Animatics,"Drawings or still pho- tos shot on videotape synchronized with arough version of an audio track. Animation (pp. 282, 312) A film or video technique in which objects or drawings are filmed one frame at a time."
Annual report,A financial docu- ment legally required of all publicly heldcompanies.
Answer print,"The finished ver- sion of the commercial, with the audio and video recorded together. Aperture (pp. 373, 433) The ideal moment for exposing consumers to an advertisingmessage."
Appeal,"An advertising approach that connects with some need, want, oremotion that makes the product message attractive, attention getting, or interesting."
Argument,"A cognitive strategy that uses logic, reasons, and proof to buildconvictions."
Art director,The person who is pri- marily responsible for the visual image ofthe advertisement.GLOSSARY 610
Association,"The process used to link a product with a positive experience,personality, or lifestyle."
Association tests,A way to check consumer perceptions by asking peoplewhat comes to mind when a word or brand is mentioned.
Attention,"Concentrating the mind on a thought or idea. Attitude (pp. 116, 145) A learned predis- position that we hold toward an object, per-son, or idea."
Attributes,A distinctive feature of a product.
Avatars,"A representation, charac- ter, or personality constructed by a com-puter user to serve or represent that person."
Average frequency,The average number of times an audience has an oppor-tunity to be exposed to a media vehicle orvehicles in a specified time span.
Aware publics,Those people who recognize the connection between a prob-lem and themselves or others but do notcommunicate about it.
Awareness,The degree to which a message has made an impression on theviewer or reader.
B Back translation,The practice of translating ad copy into a second language and then translating that version back into the original language to check the accuracyof the translation.
Bandwagon appeals,The idea that people respond to popular causes and ideasand want to join up or adopt a trendy view- point.
Bandwidth,"In electronic commu- nication, this is what governs the amountof digital information or data that can besent from one place to another in a given time."
Banner ad,"Small, often rectangular- shaped graphic that appears at the top of aWeb page."
Banners,See “banner ad.”
Behavioral targeting,The practice of identifying groups of people who might be in the market for a product based on theiractions—particularly the patterns of theironline behavior.
Beliefs,"A term related to a person’s cognitive processing—how they arrive at aposition, viewpoint, or decision based ontheir knowledge, attitudes, and opinions.Believability (p. 119) The extent to which a marketing communication message is ac-cepted as true. Benchmarking (pp. 199, 468) Comparing a result against some other known resultfrom a comparable effort."
Benefit,Statement about what the product can do for the user.
Big Idea,A creative idea that ex- presses an original advertising thought.
Bleed,A full-page ad with no out- side margins—the printed area extends tothe edge of the page.
Bleed throughs,"In printed com- munication, the image on one side of a sheet of paper can be seen on the other usu- ally because the ink has thoroughly satu-rated the paper."
Blind headline,An indirect head- line that gives little information.
Blog,A personal diary-like Web page.
Blogola,"Company representatives who pose as consumers or paid bloggerswho post endorsements as customer re- views online without the sponsorship be- ing made known to readers, also known asflogging."
Body copy,The text of the message.
Brag-and-boast copy,Self- important copy that focuses on the com- pany rather than the consumer.
Brainfag,"In creative thinking, this is the point where concentration ceases to produce ideas because of mental fatigueand the mind closes down."
Brainstorming,A creative thinking technique using free association in a groupenvironment to stimulate inspiration.
Brand,"A name, term, design, or symbol that identifies the goods, services,institution, or idea sold by a marketer."
Brand advertising,An advertising strategy that focuses on creating an image or perception of a brand.
Brand communities,"Groups of people devoted to a particular brand, such as the Harley Owners Group (HOG) forHarley-Davidson. Brand development index (BDI) (p. 431) A numerical technique used to indicate abrand’s sales within a particular market rel-ative to all other markets where the brandis sold."
Brand equity,The value associated with a brand; the reputation that the brandname or symbol connotes.Brand
extension,Use of an estab- lished brand name with a related line of products.
Brand icon,A character used to represent the brand.
Brand identity,"Unique characteris- tics of a product within a product category. Brand image (pp. 50, 207) A special mean- ing or mental representation created for aproduct by giving it a distinctive name andidentity."
Brand licensing,"A partner company rents the brand name and transfers some ofits brand equity to another product. Brand linkage (pp. 115, 207) The extent to which an advertising message is connected to the brand and locked into the memory of people who see the message. Brand loyalty (pp. 51, 119) The degree of attachment that a customer has to a partic- ular brand as expressed by repeat sales."
Brand management,An organiza- tional structure that places a manager or management team in charge of a brand’stotal marketing efforts.
Brand meaning,Perceptions of ideas and images of products or servicesoften based on product attributes andperformance.
Brand name,"The part of the brand that can be spoken, such as words, letters,or numbers."
Brand penetration,The number of customers who purchase a certainbrand compared against the total market population.
Brand personality,The image pro- jected by a brand that often resembles char-acteristics of people.
Brand position,The location a brand occupies in consumers’ minds rela-tive to its competitors.
Brand promise,Communication that sets expectations for what a customerbelieves will happen when the product is used.
Brand relationship,Communica- tion aimed at delivering reminders about familiar brands and building trust.
Brand transformation,"A brand’s meaning is more valuable than the prod- ucts, goods, or services it represents."
Brand value,Enhanced meaning of a brand that adds worth to products and services.
Branded apps,"A software pro- gram mounted on a cell phone, computer,GLOSSARY 611"
Branded entertainment,"Pro- grams, such as the Hallmark Hall of Fame, that are sponsored by a particular brand."
Branding,The process of creating a unique identity for a product.
Break-even analysis,"A type of payout plan that seeks to determine the point at which the total cost of the promo- tion exceeds the total revenues, identifyingthe point where the effort cannot breakeven."
Broadband,"A bandwidth that has more capacity to send data and images intoa home or business through a cable televi-sion wire than the much smaller capacity ofa traditional telephone wire or televisionantenna system. Broadcasting media (pp. 327, 369) Me- dia, such as radio, television, and inter-active media, which transmit sounds or images electronically."
Broadcast network,A national group of affiliated stations through  which programming and advertising aredistributed.
Broadsheets,A newspaper with a page size eight columns wide and 22 inchesdeep.
Brokers,"People or companies who sell space (in print) or time (in broadcast)for a variety of media. Business-to-business (B2B) advertising (pp. 11, 556) Targets other businesses. Business-to-business (B2B)"
market,Organizations that have products for use in conducting their business.
Buyer,A specialist who negotiates an actual purchase in a certain category.
Buzz,Gossip created by people over a popular interest in something.
C Cable radio,A technology that uses cable television receivers to deliverstatic-free music via wires plugged into ca-ble subscribers’ audio systems.
Cable television,A form of sub- scription television in which the signals arecarried to households by a cable.
Call centers,"Facilities with banks of phones and representatives who callprospects (outbound) or answer customercalls (inbound).Call to action (pp. 120, 243, 272) A con- cluding line that tells people how to buythe product."
Call-out,A block of text separate from the main display copy and headlinewhere the idea is presented.
Campaign,A comprehensive adver- tising plan for a series of different but re-lated ads that appear in different media across a specified time period.
Campaign plan,A comprehensive outline of all activities for a series of re-lated advertisements and other marketingcommunication efforts.
Capital campaigns,"Fund-raising method used to raise a certain amount ofmoney in a set period of time to financenew buildings, equipment, and so on."
Captions,Text that explains what is happening in a corresponding photo orillustration.
Carrot mob,A technique used by environmentalists to reward companiesthat support green marketing.
Carryover effect,A measure of residual effect (awareness or recall) of theadvertising message some time after the advertising period has ended.
Casting,Finding the right person for the role.
Catalog,"A multipage direct- mail publication that shows a variety of merchandise. Category development index (CDI) (p. 431) A numerical technique that indi- cates the relative consumption rate in aparticular market for a particular productcategory. Cause marketing (pp. 76, 464, 561) Spon- soring a good cause in the hope that the as- sociation will result in positive public opinion about the company."
Cease-and-desist order,An FTC remedy for false or deceptive advertisingthat requires an advertiser to stop its un-lawful practices.
Change agent,Programs and indi- viduals whose goal it is to change the atti-tudes that drive behavior.
Channel market,"The members of a distribution chain, including resellers orintermediaries. Channel marketing (pp. 37, 528) Adver- tising and promotion efforts directed atmembers of the distribution channel.Channel"
of communication,The media through which an advertisement ispresented.
Channel of distribution,People and organizations involved in movingproducts from producers to consumers. Channels (media) (p. 20) Media or com- panies such as local newspaper or radiostations that transmit communication mes-sages from the advertiser to the audienceand from consumers back to companies.
Chat room,A website that allows users to share information.
Circulation,The number of copies sold.
Claim,A statement about the prod- uct’s performance.
Claim substantiation,"The reason- able basis for making an assertion aboutproduct performance. Classified advertising (pp. 13, 357) Commercial messages arranged in the newspaper according to the interests of readers."
Claymation,"A stop-motion ani- mation technique in which figures sculpted from clay are filmed one frame at a time. Clichés (p. 244) Generic, nonoriginal, non-novel ideas."
Click art,See Clip art.
Click fraud,"Clicking on a website or online advertisement to mislead thecount either to increase the volume for thesponsor or to damage a competitor. Click-through (pp. 283, 402) The act of clicking on a button on a website that takes the viewer to a different website."
Click-through rates,A method of measuring the effectiveness of online ad-vertising by dividing the number of times the ad was presented on a website by the number of times it was clicked on byviewers.
Clip art,"Generic, copyright-free art that can be used by anyone who buysthe book or service."
Closing,Represents the last date to send an ad to production.
Closing paragraph,"The last para- graph of body copy in an ad that sums upthe selling message, usually ending with acall to action."
Cloud computing,The practice of managing an organization’s files onlinerather than on a server or hard drive.
Clutter,The excessive number of messages delivered to a target audience.
Clutter reel,"A reel of commercials used in ad testing on which one ad is theone being tested and the others are in-cluded to simulate the clutter of a typical advertising break in a program. Co-branding (pp. 52, 536) A product of- fered by two companies with both compa- nies’ brands present."
Co-marketing,Programs through which manufacturers partner with retailersin joint promotions.
Code-of-ethics,The rules and stan- dards for a system of socially responsibleprofessional practice.
Cognition,"How consumers re- spond to information, learn, and understand."
Cognitive dissonance,A tendency to justify the discrepancy between whatyou receive and what you expected toreceive.
Cognitive learning,When adver- tisers want people to know something newafter watching or hearing a message.
Coincidental survey,Random phone calls made to viewers to determinewhat shows they are watching at that time.
Cold call,"Contacts that are made to leads that have not been qualified as  interested; also includes cold calls  made by telemarketers to random phonenumbers. Collateral materials (pp. 274, 477) Bro- chures and other forms of product litera-ture used in support of an advertising,public relations, or sales promotion effort."
Color separation,The process of splitting a color image into four imagesrecorded on negatives; each negative rep- resents one of the four process colors.
Commercial speech,"Our legal right to say what we want to promote commercial activity, as defined by the First Amendment."
Commission,"The amount an ad agency charges to the client, often a per- centage of media cost."
Communication audit,"A type of background research that assesses the in-ternal and external PR environment thataffects the organization’s audience, objec- tives, competitors, and past results."
Communication brief,A strategy document that explains the consumer in-sight and summarizes the message and me- dia strategy.
Comparative advertising,A mes- sage strategy that explicitly or implicitlycompares the features of two or morebrands.
Comparison,"An advertising strat- egy that compares two or more brands. Competitive advantage (pp. 40, 204) Fea- tures or benefits of a product that let it out- perform its competitors."
Compiled list,"In database market- ing, a list that is created by merging several lists and purging duplicate entries."
Composition,The art of arranging the way the elements in a photograph are positioned.
Comprehension,"The process by which people understand, make sense of things, and acquire knowledge."
Comprehensives,"A layout that looks as much like the final printed ad as possible. Concept testing (pp. 173, 584) When a simple statement of an idea is tried out on people who are representative of the target audience in order to get their reactions tothe Big Idea."
Concepting,Creating a big idea.
Concurrent research,Research that occurs as a campaign is underway to moni- tor how the message and media strategies areworking in order to make adjustments ifneeded to improve the effectiveness of the effort.
Conditioned learning,Learning through association by connecting a stimu-lus to a reward through repeated exposureto a stimulus that eventually leads to thereward.
Consent decree,A formal FTC agreement with an advertiser that obligates the advertiser to stop its deceptive practices.
Considered purchase,Buying something after gathering and evaluatinginformation.
Consolidated services,Company action of bringing planning and buying functions together.
Consumer,"The buyer or user of goods, services, and ideas."
Consumer behavior,"The process of an individual or group selecting, pur-chasing, using, or disposing of products,services, ideas, or experiences to satisfy needs and desires.Consumer"
diaries,"A record kept of brands purchased, what they are used for, if consumers switched from one brandto another, and consumer response to cou-pons and other offers."
Consumer insight research,Re- search that seeks to determines the under-lying motivations that drive consumerattitudes and behaviors.
Consumer magazine,A publica- tion oriented to a general (non-business)audience.
Consumer market,Selling prod- ucts to a general (non-business) audience.
Consumer research,A type of market research that identifies people who are in the market for a product.
Consumer research panel,"Infor- mation provided by an ongoing group of carefully selected people interested in a particular topic or product category. Contact points (pp. 35, 218, 337) The media, as well as other places and ways, where a consumer engages in a brandexperience."
Content analysis,"Research that analyzes articles, news stories, and otherprinted materials for themes and posi-tive or negative mentions of a brand orcompany."
Contest,"A form of promotion that requires participants to compete for a prizeor prizes based on some sort of skill or ability. Continuity (pp. 434, 535) Even, continu- ous advertising over the time span of the advertising campaign."
Continuous strategy,A media strategy that spreads the advertising evenly over a period.
Continuous tone,Photographs are images that have a range of tones fromwhite to black and all the shades of gray inbetween.
Controlled circulation,"Publica- tions that are distributed, usually free, toselected individuals."
Controlled media,Media that the direct marketer either owns or has deliv-ered through carefully controlled criteria by a contracted company.
Convergence,"Because of the dig- itization of media forms, specialized me-dia, such as newspapers and television, arebecoming more alike in their content and how they are delivered online.GLOSSARY 613"
Conviction,A particularly strong belief that has been anchored firmly inone’s attitudes.
Cookies,Web “bugs” that can be placed on your computer by a Web serverto track your online movements.
Cool hunters,People who special- ize in spotting trends.
Co-op advertising,"Also called co- operative advertising; an arrangement be-tween a retailer and manufacturer in whichthe manufacturer reimburses the retailerfor all or part of the retailer’s advertisingcosts. Cooperative advertising (pp. 356, 552) See Co-op advertising."
Copycat advertising,"Using some other brand’s creative idea. Copytesting (pp. 174, 253) Evaluating the effectiveness of an ad, either in a draft formor after it has been used."
Copyright,The owner or creator of certain types of original works have thesole right to reproduce and distribute thework.
Copywriter,The person who writes the text for an ad.
Core values,"Underlying values that govern a person’s (or a brand’s) atti-tudes and behavior. Corporate advertising (pp. 11, 473) A type of advertising used by firms to buildawareness of a company, its products, andthe nature of its business."
Corporate culture,The values and attitudes that shape the behavior of an or-ganization and its employees.
Corporate identity advertising,Promotional method aimed at enhancing ormaintaining a company’s reputation in themarketplace.
Corporate image,A perception of a company that its stakeholders create intheir minds from messages and experi- ences with the company.
Corporate relations,Relations be- tween a corporation and the public involv- ing an organization’s image and reputation.
Corporate social responsibility,Programs designed to create a platform of good citizenship for corporations and other organizations.
Corrective advertising,An FTC di- rective that requires an advertiser to runtruthful ads to counter deceptive ads.Cost
per lead,"Record of how well a click-through generates prospects. Cost per point (CPP) (p. 439) A method of comparing alternative media vehicles on the basis of what it costs to deliver 1,000readers, viewers, or listeners; the cost of anadvertising unit (30-second TV or radiospot, for example) per 1,000 impressions. Cost per thousand (CPM) (p. 438) The cost of exposing each 1,000 members of the target audience to the advertisingmessage."
Country of origin,Indication of the country that globalized companies con-sider their base of operation.
Coupons,Legal certificates of- fered by manufacturers and retailers thatgrant specified savings on selected prod-ucts when presented for redemption at thepoint-of-purchase.
Coverage,The degree to which  a particular advertising medium deliversaudiences within a specific geographical area.
Crawl,Computer-generated letters that move across the bottom of the screen.
Creative boutique,"An advertising agency that specializes in the creative side of advertising. Creative brief (pp. 214, 231) The document that outlines the key strategy decisions anddetails the key execution elements."
Creative concept,"A Big Idea that is original, supports the ad strategy, anddramatizes the selling point."
Creative director,The person re- sponsible for managing the work of thecreative team.
Creative platform,A document that outlines the message strategy deci- sions for an individual ad.
Creative strategy,"The determina- tion of the right message for a particulartarget audience, a message approach thatdelivers the advertising objectives."
Credibility,The believability or reliability of a source of information.
Crisis management,Management of people and events during times of greatdanger or trouble. Critical touchpoint (CTP) (p. 338) A touch-point experience that connects the brand and customer on an emotional leveland leads to a yes or no decision about abrand purchase or relationship.
Cross-functional management,A practice that uses teams to coordinate ac-tivities that involve different areas in and outside a company.
Cross-functional organization,"a team involving members from all of therelevant parts of a company that interactwith customers, other stakeholders, andwith outside agencies."
Cross-functional planning,"A type of planning that involves people from dif-ferent parts of an organization, particularlyall those departments whose work in someway has impact on the customer."
Cross-media,See Multichannel.
Cross promotion,A type of coop- erative marketing program in whichmarketers use associations between com-plementary brands to create a joint promo-tional program.
Crowdsourcing,Aggregating the wisdom of Internet users in a type of digi- tal brainstorming that collects opinions andideas from a digital community.
Cultural and social influences,The forces other people exert on your behavior.
Cultural imperialism,"Imposing a foreign culture on a local culture; usuallyreferred to as the impact of Western cul-ture, products, and lifestyles on a more tra-ditional culture."
Culture,"The complex whole of tangible items, intangible concepts, and so-cial behaviors that define a group of peopleor a way of life."
Customer,Current or prospective purchaser of a product.
Customer satisfaction,"The de- gree to which there is a match between thecustomer’s expectations about a productand the product’s actual performance. Customer service (pp. 38, 340) The pro- cess of managing customers’ interactive experiences with a brand, particularlythose experiences based on complaints orrequests for information or service. Cut(p. 314) An abrupt transition from one shot to another."
Cutouts,"Irregularly shaped exten- sions added to the top, bottom, or sides ofstandard outdoor boards."
D Dailies,"Processed scenes on film that a director reviews to determine whatneeds correcting. Data mining (pp. 154, 508) Shifting through and sorting a company’s computer614 GLOSSARY"
Database marketing,A tool  and industry that utilizes databases to pre- dict trends and monitor consumers in  order to more effectively implement direct-marketing strategies.
Databases,Lists of consumers with information that helps target and seg- ment those who are highly likely to be inthe market for a certain product.
Daypart,The way the broadcast schedule is divided into time segments dur-ing a day.
Dealer tag,Time left at the end of a manufacturer’s TV or radio commercial to insert local retail store information.
Debossing,A depressed image created on paper by applying heat and pressure.
Deceptive advertising,Advertising that misleads consumers by making claims that are false or by failure to fully disclose important information.
Delayed effects,An advertise- ment’s impact occurs at a later time (thanits time of delivery).
Demand creation,An external mes- sage creates a want or need.
Demographics,"Human traits such as age, income, race, and gender."
Demonstration,"An advertising strategy that shows how the product works. Designated marketing area (DMA) (pp. 145, 424) Households in each major U.S. metropolitan area, or TV or radio broadcast coverage area."
Development,Department of a company focused on fund-raising.
Developmental research,A type of research that tests alternative ideas todetermine which has the best likelihood  of being successful and delivering on the strategy.
Diagnostic research,A type of re- search that deconstructs a message to de- termine what elements are working or notworking in order to make corrections orstrengthen the execution of the strategy.
Diaries,"In advertising research, consumers record their consumption activ-ities, including media use."
Die-cutting,"Using a sharp-edged stamp to cut irregular shapes in printedmaterials. Differentiation (pp. 40, 114) An advertis- ing strategy that calls to the consumer’s at-tention the features that make a product unique or better than the competition."
Diffusion,Adoption of new ideas based on Everett Rogers’ Diffusion of In-novations theory.
Digital displays,Outdoor adver- tising that uses digital technology to createan image.
Digital marketing,"Using new me- dia and electronic media, particularly theInternet, to reach customers and make asale. Digital video recorder (DVR) (p. 378) Technology that allows people to recordTV programs and play them back whenthey want."
Digitization,Converting art into computer-readable images.
Direct action,"Immediate response to advertising, such as completing an order form and sending it back by return mail."
Direct mail,A type of direct mar- keting that sends the offer to a prospective customer by mail. Direct marketing (DM) (p. 42) A type of marketing that uses media to contact a pro- spect directly and elicit a response withoutthe intervention of a retailer or personal sales.
Direct-action headline,A head- line that is straightforward and informativeand leads to some kind of action.
Direct-response advertising,A type of marketing communication thatachieves an action-oriented objective as aresult of the advertising message.
Direct-response marketing,"A multi-channel form of marketing that con- nects sellers and customers directly ratherthan through an intermediary, such as aretailer."
Direct-response marketing communica- tion,A type of marketing commu- nication that achieves an action-orientedobjective as a result of a message delivereddirectly to a prospective customer.
Directional advertising,Tells peo- ple where to go to find goods and services.
Discretionary income,The money available for spending after taxes and ne-cessities are covered.
Display advertising,"Sponsored messages that can be of any size and loca- tion within the newspaper, except the edi- torial page."
Display copy,"Type set in larger sizes that is used to attract the reader’sattention.Distribution (p. 42) In marketing, the channel of distribution describes the routea product takes moving from its manufac- turer to the customer."
Distribution chain,The companies involved in moving a product from themanufacturer to the customer.
Divergent thinking,"In creative thinking, people trying to come up with acreative idea are advised to move awayfrom logical thinking (inductive, deduc-tive) and look for unexpected ideas by making mental jumps and creative leaps."
Domain name,"Sometimes referred to as a Web address, the domain name is thepart of the address that identifies the hostserver on which a website resides."
Donut,"A form of broadcast com- mercials in which the opening and closing sections are the same, while the middle changes to focus on different merchandiseor local stores."
Double-page spread,An adver- tisement that crosses two facing pages in a magazine.
Dubbing,The process of making duplicate copies of a videotape.
E E-business,The practice of con- ducting business online.
E-commerce,"Selling goods and services through electronic means, usually over the Internet. Earned media, (p. 438) A term used in public relations, it refers to the media im-pressions delivered through publicity rather than through advertising media buys."
Effective,Marketing communica- tion is deemed to be effective when it ac-complishes its objectives.
Effective frequency,A planning concept that determines a range (minimum and maximum) of repeat exposures for a message.
Effectiveness,Assessment about the extent to which objectives are met.
