Term,Related Terms
media,"['one-bill', 'Frequency distribution', 'Media strategy', 'Advertising', 'M Make goods', 'Preferred-position rate', 'Continuous strategy', 'Marketing services', 'Brokers', 'Media kit', 'Uncontrolled media', 'Convergence', 'Advertising plan', 'Direct action', 'Media optimization', 'Line art', 'Maven marketing', 'of communication', 'Medium', 'Purging', 'Preferred positions', 'Mechanicals', 'Test market', 'Free association', 'Flash mob', 'Reseller', 'Weighting', 'Media objective', 'Diaries', 'Concurrent research', 'Semi-controlled media', 'Media research', 'Direct mail', 'Grip', 'Commission', 'Media tour', 'Intrusiveness', 'Value billing', 'News release', 'Frequency quintile distribution analysis', 'Unbundling media services', 'value added media services', 'Sales kits', 'Widgets', 'Social media marketing', 'Implied third-party endorsement', 'Media planning', 'Offline advertising', 'Media-buying services', 'Consumer research panel', 'Media buyer', 'Average frequency', 'Digital marketing', 'Addressable media', 'Feature story', 'Campaign', 'Media reps', 'Open-ended questions', 'Media planners', 'E-commerce', 'medium', 'Broadband', 'Targeted reach', 'Interest', 'Controlled media', 'Heavy-up schedule', 'Motive', 'Publicity', 'Channel of distribution', 'Media relations', 'Direct-response marketing', 'Press conference', 'Channel market', 'Social networking', 'Pitch letter', 'flow chart', 'Media researchers', 'per lead']"
Noise,"['ad', 'message', 'Message', 'Advertising']"
Nonprofit advertising,"['ad', 'Association', 'program']"
Nontraditional delivery,"['ad', 'Wants', 'Culture']"
Objective-task method,[]
Observation research,['Take']
Off camera,[]
Offer,"['Direct mail', 'Infomercial', 'market', 'message', 'Response list', 'One-step offer', 'Customer', 'materials', 'Refund', 'Market', 'diaries']"
Offline advertising,"['ad', 'media', 'Website', 'Advertiser', 'Consumer', 'Advertising']"
Offset printing,"['Mechanicals', 'Image']"
On location,[]
one-bill,"['ad', 'rate', 'media', 'Advertiser', 'Advertising']"
One-step offer,"['Offer', 'Message', 'message']"
Online video,['program']
Open-ended questions,"['ad', 'Direct mail', 'media', 'rate', 'Media planners', 'Consumer', 'In-depth interview', 'model']"
Original,"['Copyright', 'Industrial advertising', 'Big Idea', 'ROI of creativity', 'B Back translation', 'Minisites', 'Syndication', 'Claymation', 'Primary research', 'Creative concept']"
Out-of-home advertising,"['ad', 'display']"
Out-of-register color,['Image']
Outbound telemarketing,"['Market', 'market']"
Outdoor advertising,['ad']
Overlines,"['ad', 'Headline']"
P Pace,[]
Package goods,"['Household', 'Family']"
Packaging,"['Brand', 'Message', 'message']"
Page views,['Website']
Painted outdoor bulletins,"['ad', 'Advertisement']"
Pantry checks,['ad']
Participant observation,"['ad', 'Advertiser']"
Pass-along readership,"['Circulation', 'circulation', 'Consumer', 'ad']"
Payout analysis,"['ad', 'Comparison', 'rate', 'Website', 'Customer']"
Payout planning,"['Effective', 'Sales promotion', 'Effectiveness']"
People meters,[]
Perceived risk,[]
Percentage-of-sales method,"['ad', 'Advertising']"
Perception,"['Corporate image', 'Brand advertising', 'Association tests', 'Brand meaning', 'Subliminal', 'Netcasting', 'Image']"
Perceptual map,"['Consumer', 'Position']"
Permission marketing,"['Market', 'market', 'Consumer']"
Permission to believe,"['techniques', 'Conviction', 'Credibility']"
Personal sales,"['Direct mail', 'market', 'Customer', 'Market', 'Marketer']"
Personal selling,"['Customer', 'Market', 'market', 'Marketer']"
Personalization,"['Interest', 'Customer', 'Conviction', 'rate']"
Persuasion test,"['ad', 'Effectiveness', 'Effective', 'Brand', 'Advertisement']"
Picture sort,[]
Pitch letter,['media']
Podcasting,['ad']
Podcasts,['ad']
Point of differentiation,[]
display,"['Out-of-home advertising', 'Selling premise', 'Brand', 'Trade show', 'display', 'Call-out', 'Headline', 'materials']"
materials,"['Offer', 'Brand', 'Cold call', 'display', 'poster', 'materials', 'Die-cutting', 'Content analysis']"
Pop-ups and pop-behind,"['ad', 'Website', 'Screen']"
Population,"['Targeted reach', 'Brand penetration', 'Rate card', 'Sample', 'Showing', 'Grip', 'Frequency distribution', 'Random sample']"
Portal,"['Link', 'Website']"
Position,"['Beliefs', 'Press conference', 'Reminder advertising', 'Mechanicals', 'Perceptual map', 'Problem avoidance message', 'Attention', 'Free association', 'Brand', 'Layout', 'Consumer', 'Undifferentiated strategy', 'Strategic consistency', 'Composition']"
Positioning,"['Market', 'Reminder advertising', 'market', 'Consumer']"
Post-testing research,"['Effective', 'program', 'Effectiveness']"
Postproduction,[]
Predictive dialing,"['program', 'market', 'Trial', 'Market', 'Telemarketing']"
Preference,"['ad', 'Leads', 'Intend-to-buy test']"
Preferred positions,"['ad', 'Advertiser', 'Appeal', 'media']"
Preferred-position rate,"['Appeal', 'media']"
Premium,[]
Preprints,"['ad', 'Advertising']"
Proproduction,"['ad', 'Production notes']"
Press conference,"['ad', 'Leads', 'Position', 'media']"
Price,"['Promotional allowances', 'market', 'Price deal', 'Price-value strategy', 'Price copy', 'Experimental research', 'Four Ps', 'Market']"
Price copy,"['ad', 'Price', 'Advertising']"
Price deal,['Price']
Price-value strategy,"['Customer', 'Price']"
Primary research,"['Original', 'Source']"
Prime time,['program']
Print production,"['Take', 'Layout']"
poster,"['transit advertising', 'materials', 'Interior transit advertising']"
Privacy policy,['Website']
Private label brands,['Brand']
Private labels,"['Brand', 'Private labels']"
Pro bono,[]
Problem avoidance message,"['Strategy', 'message', 'rate', 'Message', 'Brand', 'Message strategy', 'Position', 'strategy']"
Problem solution message,"['Strategy', 'message', 'rate', 'Message', 'Message strategy', 'strategy']"
Process colors,"['Four-color printing', 'Color separation']"
Product category,"['Evoked set', 'Brand identity', 'Consumer research panel']"
Product development,"['Strategy', 'market', 'rate', 'Needs', 'Effective', 'Attributes', 'Customer', 'Market', 'strategy']"
Product placement,"['Brand name', 'Brand']"
Product reviews,[]
Product-as-hero,"['Strategy', 'message', 'rate', 'Message', 'Message strategy', 'strategy']"
Product-driven philosophy,"['Needs', 'Consumer']"
Production notes,['Proproduction']
Professional advertising,['ad']
Profiles,"['Targeted reach', 'Lifestyle']"
Program preemptions,['program']
techniques,"['Tactic', 'Intrusiveness', 'rate', 'Puffery', 'Brand', 'Permission to believe', 'Consumer']"
Promise,['Benefit']
Promotional allowances,"['ad', 'Price', 'Retail advertising', 'Advertising']"
Prospecting,"['Market', 'market', 'Prospects']"
Prospects,"['Leads', 'Call centers', 'Prospecting', 'Addressable media', 'Brand', 'Customer', 'per lead']"
Psychographics,['Consumer']
Psychological pricing,"['Strategy', 'rate', 'Customer', 'strategy']"
Public affairs,"['Take', 'Campaign', 'Lobbying']"
Public opinion,"['Issue management', 'Beliefs', 'Catalog']"
Public radio,"['ad', 'Casting', 'Public radio']"
Public relations,"['ad', 'Public relations', 'News release', 'Effective', 'Marketing mix', 'E-commerce', 'Cold call', 'Advertising', 'Multiplatform', 'Image', 'Publics']"
Public television,"['ad', 'Advertising']"
Publicity,"['Interest', 'E-commerce', 'media']"
Publics,['Public relations']
Puffery,"['ad', 'Strategy', 'market', 'rate', 'Consumer', 'Advertising', 'techniques', 'Market', 'strategy']"
Pulsing strategy,"['ad', 'Advertising']"
Purging,"['ad', 'Strategy', 'market', 'Diaries', 'media', 'rate', 'Advertising', 'Compiled list', 'Market', 'Reseller', 'diaries', 'strategy']"
Q Qualitative research,[]
Quantitative research,['Consumer']
R Radio Network,['program']
Radio script,['ad']
Random sample,"['Population', 'Sample']"
Rate card,"['ad', 'Household', 'program', 'Population', 'Advertising']"
Reason to believe,"['ad', 'Claim', 'Advertising']"
Reason why,"['Benefit', 'Sales promotion', 'Customer']"
Recall,"['ad', 'AIDA', 'Carryover effect', 'Indirect action', 'Typography']"
Recall test,"['ad', 'Advertisement']"
Receiver,"['ad', 'market', 'Feedback', 'C Cable radio', 'Buyer', 'Customer', 'Advertisement', 'Selective attention', 'Market', 'Subliminal', 'Marketer']"
Recognition,"['Typography', 'AIDA']"
Recognition test,"['ad', 'Showing', 'Advertisement']"
Reference group,[]
Referrals,['Brand']
Refund,"['market', 'Offer', 'Consumer', 'Market', 'Marketer']"
Regional brand,"['ad', 'Brand']"
Registered,"['Image', 'Undifferentiated strategy']"
Relational database,"['market', 'Segmenting', 'Customer', 'Databases', 'Market']"
Release prints,['ad']
Relevance,"['Message', 'message']"
Relevant,"['Single-source research', 'ROI of creativity', 'Key visual', 'High involvement', 'Cross-functional organization']"
Reliability,"['Reliability', 'Credibility']"
Reminder advertising,"['ad', 'Strategy', 'market', 'rate', 'Specialty advertising', 'Positioning', 'Brand name', 'Brand', 'Consumer', 'Position', 'Market', 'strategy']"
Reputation,"['Brand equity', 'Corporate relations', 'Corporate identity advertising']"
Reputation management,['Take']
Reseller,"['Diaries', 'media', 'Intermediaries', 'Purging', 'Channel market', 'diaries']"
Resonance,"['message', 'Message', 'Consumer']"
Response list,"['Market', 'Offer', 'market']"
Retail advertising,"['ad', 'Promotional allowances', 'Consumer']"
Retainer,[]
Right brain thinking,[]
ROI of creativity,"['Original', 'Relevant']"
Rough cut,[]
Rough layouts,"['Attention', 'Layout']"
rate,"['Account planner', 'one-bill', 'Catalog', 'Strategic consistency', 'Bleed throughs', 'Full-service agency', 'Problem avoidance message', 'Creative platform', 'Advertising', 'Communication brief', 'Die-cutting', 'Product development', 'Videographer', 'Your-name-here copy', 'Continuous strategy', 'techniques', 'Advertising research', 'Advertising plan', 'Experiential marketing', 'Institutional advertising', 'Social responsibility', 'Creative concept', 'Structural analysis', 'Developmental research', 'Purging', 'Creative boutique', 'Product-as-hero', 'Humor', 'Flash mob', 'Strategic philanthropy', 'ad', 'Fee system', 'Netcasting', 'Message development research', 'Database marketing', 'Concurrent research', 'Reminder advertising', 'Spokesperson', 'Interactivity', 'Diagnostic research', 'Value billing', 'Unbundling media services', 'Brand advertising', 'Crawl', 'Strategic planning', 'Personalization', 'Problem solution message', 'Stock footage', 'Social media marketing', 'Underlines', 'Localization', 'Puffery', 'Teaser', 'Core values', 'Institutional markets', 'Advocacy advertising', 'Payout analysis', 'message', 'Open-ended questions', 'Media planners', 'Interlock', 'Global brand', 'Search marketing', 'Marketing mix', 'Psychological pricing', 'Comparative advertising', 'Argument', 'Tactic', 'Emotional appeals', 'Demonstration', 'Call-out', 'World Wide Web', 'rate', 'Market segmentation', 'Social networking', 'Store traffic', 'per lead']"
Rushes,[]
S Saccadic eye movement,"['ad', 'Take']"
Sales kits,['media']
Sales levels,['Customer']
Sales promotion,"['ad', 'market', 'Reason why', 'Cold call', 'Multiplatform', 'Market', 'Payout planning']"
Sample,"['Population', 'Random sample']"
Sampling,['Consumer']
Satellite radio,"['ad', 'program']"
Satellite television,"['program', 'Subscription television']"
Scanner research,"['Household', 'Market', 'market', 'Consumer']"
Scenes,"['D Dailies', 'Script clerk']"
Screen,"['Widgets', 'Pop-ups and pop-behind', 'Screen', 'Tint blocks', 'Selective perception', 'Crawl', 'Image']"
Script clerk,['Scenes']
Search engine,"['Internet', 'Key visual']"
Search marketing,"['Market', 'market', 'Consumer', 'rate']"
Search optimization,"['Brand', 'Website', 'Consumer', 'Link']"
Secondary research,['ad']
Segmenting,"['Market', 'market', 'Relational database']"
Selective attention,"['Message', 'Receiver', 'message']"
Selective perception,"['Interest', 'Screen']"
Self-liquidator,[]
Selling premise,"['ad', 'message', 'Message', 'display', 'Layout', 'Advertising']"
Semi-controlled media,"['Internet', 'Message', 'message', 'media']"
Semiotic analysis,"['Market', 'Brand', 'market', 'Take']"
Share of mind,['Brand']
Share of voice,"['ad', 'message', 'Medium', 'Message', 'Brand', 'medium', 'Advertising']"
Share of wallet,['Brand']
Shelf talkers,"['Customer', 'Take', 'Coupons']"
Shoppers,['Customer']
Showing,"['Market', 'Recognition test', 'market', 'Population']"
Single-source research,"['ad', 'market', 'Relevant', 'Campaign plan', 'Campaign', 'Market']"
Skyscrapers,"['ad', 'Website']"
Slice-of-life message,['ad']
Slogans,"['ad', 'Campaign']"
Smart phones,"['ad', 'Internet']"
model,"['ad', 'message', 'Open-ended questions', 'Effects', 'Message', 'Advertising', 'model']"
Social class,"['Values', 'Lifestyle']"
Social games,['Game']
Social learning,[]
Social marketing,"['Market', 'market']"
Social media marketing,"['ad', 'Take', 'market', 'rate', 'media', 'Market']"
Social networking,"['Market', 'rate', 'market', 'media']"
Social responsibility,"['Values', 'rate']"
Societal marketing,[]
Soft sell,"['Message', 'message']"
Soft-sell approach,"['ad', 'Brand', 'Image', 'Consumer']"
Sound effects,[]
Source,"['ad', 'message', 'Feedback', 'Videographer', 'Message', 'Values', 'Advertiser', 'Primary research', 'Undifferentiated strategy', 'Credibility', 'Strategic philanthropy', 'Source credibility']"
Source credibility,['Source']
Spam,"['ad', 'Spoofing']"
bureau,[]
Specialty advertising,"['ad', 'message', 'Reminder advertising', 'Message', 'Advertising']"
Spokes-character,['Spokesperson']
Spokesperson,"['Strategy', 'message', 'rate', 'Message', 'Message strategy', 'Spokes-character', 'Endorser', 'strategy']"
Spoofing,['Spam']
Spot announcements,"['ad', 'program']"
Spot buy,"['ad', 'Advertising']"
Spot color,"['ad', 'Attention', 'Layout']"
Spot radio advertising,"['ad', 'Interest', 'Take', 'Advertising']"
Standardization,"['ad', 'Campaign', 'Culture', 'International advertising', 'Advertising']"
Stereotype,"['ad', 'Interest', 'message', 'Message', 'Website']"
Stock footage,['rate']
Stop motion,['Brand']
Store traffic,['rate']
message,"['Mobile marketing', 'Frequency distribution', 'Brand', 'Strategic consistency', 'Awareness', 'Effective frequency', 'Packaging', 'Direct-response advertising', 'Cognitive learning', 'Problem avoidance message', 'Creative platform', 'Communication brief', 'M Make goods', 'Subliminal', 'Relevance', 'Videographer', 'Closing paragraph', 'Marketing services', 'Advertising plan', 'Two-step offer', 'Answer print', 'Low-context cultures', 'Liking', 'Source', 'Tip-ins', 'Product-as-hero', 'Humor', 'Mechanicals', 'Insight mining', 'Flash mob', 'Share of voice', 'Resonance', 'Corporate image', 'Message development research', 'Concurrent research', 'Feedback', 'Semi-controlled media', 'Spokesperson', 'Interactivity', 'Typography', 'Claim substantiation', 'Offer', 'One-step offer', 'Guerrilla marketing', 'Selective attention', 'Creative strategy', 'Diagnostic research', 'Intrusiveness', 'News release', 'Brand name', 'model', 'Beliefs', 'Hard sell', 'Problem solution message', 'Indirect action', 'Direct-response marketing communica- tion', 'Soft sell', 'Implied third-party endorsement', 'Display advertising', 'Multiplatform', 'Stereotype', 'Intrusive', 'Immersion', 'Localization', 'Variable data campaigns', 'Noise', 'Addressable media', 'Teaser', 'Institutional markets', 'Advocacy advertising', 'message', 'High-context culture', 'Specialty advertising', 'Target market', 'Inquiry tests', 'Targeted reach', 'Brand licensing', 'Carryover effect', 'Message', 'Selling premise', 'Taglines', 'Clutter', 'Emotional appeals', 'Testimonial', 'Body copy', 'Appeal', 'rate', 'Execution', 'Kiosks', 'Message strategy', 'per lead']"
Strategic consistency,"['Interest', 'Take', 'Strategy', 'message', 'rate', 'Message', 'Brand', 'Position', 'Image', 'strategy']"
Strategic philanthropy,"['Source', 'Brand', 'Full-service agency', 'rate']"
Strategic planning,"['Advertising research', 'Tactic', 'rate']"
Strategic research,"['ad', 'Leads']"
Strategy,"['Account planner', 'Developmental research', 'Purging', 'Creative boutique', 'Strategic consistency', 'Image', 'Global brand', 'Diagnostic research', 'Product-as-hero', 'Humor', 'Problem avoidance message', 'Creative platform', 'Brand advertising', 'Psychological pricing', 'Comparative advertising', 'Communication brief', 'Die-cutting', 'Argument', 'Product development', 'Tactic', 'Problem solution message', 'Videographer', 'Continuous strategy', 'Demonstration', 'Message development research', 'Localization', 'Reminder advertising', 'Puffery', 'Teaser', 'Spokesperson', 'Creative concept']"
Structural analysis,"['Claim', 'rate']"
Subheads,"['ad', 'Headline']"
Subliminal,"['message', 'Message', 'Receiver', 'Perception']"
Subscription television,['Satellite television']
Substantiation,['Claim']
Superstations,[]
Superstitials,"['Website', 'Internet']"
Supplements,"['ad', 'Advertising']"
Suppliers,"['Marketing services', 'Industrial advertising']"
Supply chain,['Claim']
Survey research,[]
Sweeps,"['program', 'Game']"
Sweepstakes,"['Game', 'Contest']"
Switchers,['Brand']
Symbolic meaning,['Association']
Syndication,"['ad', 'program', 'Original']"
T Tabloid,[]
Tactic,"['Strategic planning', 'Strategy', 'rate', 'techniques', 'strategy']"
Tag clouds,[]
Tagging,[]
Taglines,"['ad', 'Message', 'Advertisement', 'message']"
Tags,['Hard-sell approach']
Take,"['Public affairs', 'Corporate image', 'Display copy', 'Strategic consistency', 'Shelf talkers', 'Spot radio advertising', 'Print production', 'Observation research', 'Reputation management', 'Semiotic analysis', 'S Saccadic eye movement', 'Social media marketing', 'Media kit', 'Click fraud', 'Game', 'Cross-functional organization']"
Talent,[]
Target market,"['ad', 'market', 'message', 'Message', 'Wants', 'Consumer', 'Market', 'Marketer']"
Targeted reach,"['ad', 'message', 'Medium', 'media', 'Population', 'Message', 'Profiles', 'medium', 'Advertising']"
Teaser,"['Strategy', 'message', 'rate', 'Message', 'Message strategy', 'strategy']"
Telemarketing,"['Market', 'Predictive dialing', 'market']"
Television script,[]
Test market,"['ad', 'Market', 'market', 'media']"
Testimonial,"['Endorsement', 'Message', 'message']"
Theater of the mind,['ad']
Thumbnail sketches,['Layout']
Tie-ins,"['ad', 'Advertiser']"
Time-shifting,[]
Tint blocks,"['ad', 'Screen']"
Tip-ins,"['ad', 'message', 'Message', 'Brand', 'Customer', 'Advertiser']"
Town hall forums,"['Market', 'program', 'market']"
Tracking studies,"['Brand', 'Consumer']"
Trade advertising,"['ad', 'Advertising']"
Trade deal,[]
Trade show,"['Brand name', 'Brand', 'display', 'ad']"
Traditional delivery,['ad']
Traffic department,['ad']
Trailers,"['ad', 'Advertisement']"
Transformation,"['Brand', 'Image']"
Trend spotters,"['ad', 'Consumer']"
Trial,['Predictive dialing']
Tweets,['ad']
Two-step offer,"['ad', 'Leads', 'message', 'Message', 'Consumer']"
Typography,"['Cognition', 'message', 'Message', 'Recall', 'Recognition']"
Unbundling media services,"['rate', 'media']"
circulation,"['Maven marketing', 'Pass-along readership']"
Uncontrolled media,"['Media tour', 'media']"
Underlines,"['ad', 'Body copy', 'Headline', 'rate']"
Underwriting,"['ad', 'Casting', 'program']"
Undifferentiated strategy,"['ad', 'Benefit', 'market', 'Domain name', 'Registered', 'Source', 'Website', 'Internet', 'Consumer', 'Position', 'Market']"
Usage,['Consumer']
User-generated ads,['Website']
V Validity,['ad']
value added media services,"['ad', 'market', 'media', 'Advertising', 'Market']"
Value billing,"['Execution', 'rate', 'media']"
Values,"['Corporate culture', 'Values', 'Core values', 'Source', 'Marketing imperialism', 'Lifestyle', 'Mission statement', 'Social responsibility', 'Social class']"
Vampire creativity,"['Big Idea', 'Brand']"
Variable data campaigns,"['Message', 'message']"
Video editing,"['ad', 'News release']"
Videographer,"['ad', 'Interest', 'Strategy', 'market', 'message', 'rate', 'Message', 'Source', 'Consumer', 'Market', 'Image', 'strategy']"
Virtual communities,"['Brand', 'Interest']"
Visualization,['Mental rehearsal']
Vlogs,"['Blog', 'Netcasting']"
Voice-over,[]
Wants,"['ad', 'Interest', 'Nontraditional delivery', 'Target market', 'Advertising', 'Marketing concept', 'Motivation']"
Wave analysis,"['ad', 'Campaign', 'Advertising']"
Website,"['Page views', 'Payout analysis', 'Micro-sites', 'Minisites', 'Key visual', 'Superstitials', 'Chat room', 'Click fraud', 'Link', 'Portal', 'Domain name', 'Home page', 'Click-through rates', 'Undifferentiated strategy', 'Widgets', 'Search optimization', 'Offline advertising', 'Multiplatform', 'Stereotype', 'Skyscrapers', 'Pop-ups and pop-behind', 'Privacy policy', 'User-generated ads']"
Webcasting,"['ad', 'Internet']"
Webisode,"['ad', 'program', 'Advertisement']"
Weighting,"['Media planning', 'medium', 'media', 'Medium']"
White space,"['Gutter', 'Layout']"
Widgets,"['ad', 'program', 'media', 'Screen', 'Website']"
World Wide Web,"['Internet', 'rate']"
Y Yellow Pages,"['ad', 'Advertising']"
Your-name-here copy,"['Claim', 'rate']"
Z Zap,['program']
Zone editions,[]
